|   k |   P(Z=k) |
|-----+----------|
|   0 | 0.000863 |
|   1 | 0.006335 |
|   2 | 0.022296 |
|   3 | 0.051755 |
|   4 | 0.091102 |
|   5 | 0.127609 |
|   6 | 0.149113 |
|   7 | 0.149113 |
|   8 | 0.13088  |
|   9 | 0.101438 |
|  10 | 0.071086 |
|  11 | 0.045162 |
|  12 | 0.026235 |
|  13 | 0.014287 |
|  14 | 0.006951 |
|  15 | 0.00336  |
|  16 | 0.001458 |
|  17 | 0.00062  |
|  18 | 0.000216 |
|  19 | 6.6e-05  |
|  20 | 3.8e-05  |
|  21 | 1.4e-05  |
|  22 | 3e-06    |
|  23 | 0        |
|  24 | 0        |
|  25 | 0        |
