|   k |   P(Z=k) |
|-----+----------|
|   0 |  0.04066 |
|   1 |  0.13045 |
|   2 |  0.20988 |
|   3 |  0.22203 |
|   4 |  0.1778  |
|   5 |  0.11436 |
|   6 |  0.05967 |
|   7 |  0.02821 |
|   8 |  0.01108 |
|   9 |  0.00408 |
|  10 |  0.00137 |
|  11 |  0.00032 |
|  12 |  6e-05   |
|  13 |  3e-05   |
|  14 |  0       |
|  15 |  0       |
|  16 |  0       |
|  17 |  0       |
|  18 |  0       |
|  19 |  0       |
|  20 |  0       |
|  21 |  0       |
|  22 |  0       |
|  23 |  0       |
|  24 |  0       |
|  25 |  0       |
